cell_line	gene	threshold_cycle	Ct_mean	Ct_SD
MeT5A-BR0.1	ATP5G1V2	29.340	29.319	0.027
MeT5A-BR0.3	ATP5G1V2	29.065	29.540	0.573
MeT5A-BR0.3	ATP5G1V2	30.176	29.540	0.573
MeT5A-BR0.3	ATP5G1V2	29.380	29.540	0.573
REN	ATP5G1V2	21.448	21.693	0.271
REN	ATP5G1V2	21.648	21.693	0.271
REN	ATP5G1V2	21.984	21.693	0.271
REN-BR0.1	ATP5G1V2	21.097	21.287	0.179
REN-BR0.1	ATP5G1V2	21.452	21.287	0.179
REN-BR0.1	ATP5G1V2	21.313	21.287	0.179
REN-BR0.3	ATP5G1V2	26.048	25.316	0.753
REN-BR0.3	ATP5G1V2	24.543	25.316	0.753
REN-BR0.3	ATP5G1V2	25.357	25.316	0.753
VMC23	ATP5G1V2	22.378	22.521	0.259
VMC23	ATP5G1V2	22.365	22.521	0.259
VMC23	ATP5G1V2	22.820	22.521	0.259
VMC23-BR0.3	ATP5G1V2	26.286	26.210	0.073
VMC23-BR0.3	ATP5G1V2	26.142	26.210	0.073
VMC23-BR0.3	ATP5G1V2	26.202	26.210	0.073
H28	ATP5G2	38.335	37.241	2.424
H28	ATP5G2	34.463	37.241	2.424
H28	ATP5G2	38.925	37.241	2.424
H28-BR0.1	ATP5G2	36.795	36.635	1.756
H28-BR0.1	ATP5G2	38.306	36.635	1.756
H28-BR0.1	ATP5G2	34.804	36.635	1.756
H28-BR0.3	ATP5G2	Undetermined	36.203	1.127
H28-BR0.3	ATP5G2	37.000	36.203	1.127
H28-BR0.3	ATP5G2	35.406	36.203	1.127
MeT5A	ATP5G2	37.348	34.170	2.752
MeT5A	ATP5G2	32.622	34.170	2.752
MeT5A	ATP5G2	32.541	34.170	2.752
MeT5A-BR0.1	ATP5G2	39.087	39.087	0
MeT5A-BR0.1	ATP5G2	Undetermined	39.087	0
MeT5A-BR0.1	ATP5G2	Undetermined	39.087	0
MeT5A-BR0.3	ATP5G2	Undetermined	Undetermined	0
MeT5A-BR0.3	ATP5G2	Undetermined	Undetermined	0
MeT5A-BR0.3	ATP5G2	Undetermined	Undetermined	0
REN	ATP5G2	32.169	31.803	0.410
REN	ATP5G2	31.359	31.803	0.410
REN	ATP5G2	31.882	31.803	0.410
REN-BR0.1	ATP5G2	30.352	30.905	0.790
REN-BR0.1	ATP5G2	30.553	30.905	0.790
REN-BR0.1	ATP5G2	31.809	30.905	0.790
REN-BR0.3	ATP5G2	33.542	35.560	2.361
REN-BR0.3	ATP5G2	38.156	35.560	2.361
REN-BR0.3	ATP5G2	34.982	35.560	2.361
VMC23	ATP5G2	30.367	30.476	0.317
VMC23	ATP5G2	30.832	30.476	0.317
VMC23	ATP5G2	30.228	30.476	0.317
VMC23-BR0.3	ATP5G2	33.767	33.074	0.732
VMC23-BR0.3	ATP5G2	33.144	33.074	0.732
VMC23-BR0.3	ATP5G2	32.309	33.074	0.732
H28	ATP5G2V3	34.471	34.103	0.321
H28	ATP5G2V3	33.878	34.103	0.321
H28	ATP5G2V3	33.960	34.103	0.321
H28-BR0.1	ATP5G2V3	34.284	34.737	0.395
H28-BR0.1	ATP5G2V3	35.007	34.737	0.395
H28-BR0.1	ATP5G2V3	34.921	34.737	0.395
H28-BR0.3	ATP5G2V3	35.575	36.035	0.650
H28-BR0.3	ATP5G2V3	Undetermined	36.035	0.650
H28-BR0.3	ATP5G2V3	36.494	36.035	0.650
MeT5A	ATP5G2V3	34.546	34.628	0.173
MeT5A	ATP5G2V3	34.512	34.628	0.173
MeT5A	ATP5G2V3	34.827	34.628	0.173
MeT5A-BR0.1	ATP5G2V3	Undetermined	0	
MeT5A-BR0.1	ATP5G2V3	Undetermined	0	
MeT5A-BR0.1	ATP5G2V3	Undetermined	0	
MeT5A-BR0.3	ATP5G2V3	Undetermined	0	
MeT5A-BR0.3	ATP5G2V3	Undetermined	0	
MeT5A-BR0.3	ATP5G2V3	Undetermined	0	
REN	ATP5G2V3	34.281	33.414	0.935
REN	ATP5G2V3	32.423	33.414	0.935
REN	ATP5G2V3	33.539	33.414	0.935
REN-BR0.1	ATP5G2V3	34.503	33.831	0.621
REN-BR0.1	ATP5G2V3	33.280	33.831	0.621
REN-BR0.1	ATP5G2V3	33.708	33.831	0.621
REN-BR0.3	ATP5G2V3	34.107	34.686	0.513
REN-BR0.3	ATP5G2V3	34.871	34.686	0.513
REN-BR0.3	ATP5G2V3	35.082	34.686	0.513
VMC23	ATP5G2V3	34.816	34.343	0.572
VMC23	ATP5G2V3	34.506	34.343	0.572
VMC23	ATP5G2V3	33.707	34.343	0.572
VMC23-BR0.3	ATP5G2V3	38.990	37.962	1.332
VMC23-BR0.3	ATP5G2V3	36.458	37.962	1.332
VMC23-BR0.3	ATP5G2V3	38.439	37.962	1.332
H28	ATP5G3	30.752	31.120	0.339
H28	ATP5G3	31.189	31.120	0.339
H28	ATP5G3	31.419	31.120	0.339
H28-BR0.1	ATP5G3	27.692	28.068	0.418
H28-BR0.1	ATP5G3	27.994	28.068	0.418
H28-BR0.1	ATP5G3	28.518	28.068	0.418
H28-BR0.3	ATP5G3	31.007	31.073	0.233
H28-BR0.3	ATP5G3	30.880	31.073	0.233
H28-BR0.3	ATP5G3	31.332	31.073	0.233
MeT5A	ATP5G3	30.446	30.514	0.144
MeT5A	ATP5G3	30.415	30.514	0.144
MeT5A	ATP5G3	30.679	30.514	0.144
MeT5A-BR0.1	ATP5G3	31.765	32.130	0.348
MeT5A-BR0.1	ATP5G3	32.166	32.130	0.348
MeT5A-BR0.1	ATP5G3	32.459	32.130	0.348
MeT5A-BR0.3	ATP5G3	30.020	30.731	0.629
MeT5A-BR0.3	ATP5G3	30.964	30.731	0.629
MeT5A-BR0.3	ATP5G3	31.210	30.731	0.629
REN	ATP5G3	26.369	26.692	0.329
REN	ATP5G3	26.681	26.692	0.329
REN	ATP5G3	27.027	26.692	0.329
REN-BR0.1	ATP5G3	26.872	26.786	0.075
REN-BR0.1	ATP5G3	26.738	26.786	0.075
REN-BR0.1	ATP5G3	26.748	26.786	0.075
REN-BR0.3	ATP5G3	29.021	29.235	0.230
REN-BR0.3	ATP5G3	29.207	29.235	0.230
REN-BR0.3	ATP5G3	29.478	29.235	0.230
VMC23	ATP5G3	26.913	27.185	0.243
VMC23	ATP5G3	27.258	27.185	0.243
VMC23	ATP5G3	27.383	27.185	0.243
VMC23-BR0.3	ATP5G3	29.217	29.485	0.234
VMC23-BR0.3	ATP5G3	29.650	29.485	0.234
VMC23-BR0.3	ATP5G3	29.589	29.485	0.234
H28	ATP5B	Undetermined	Undetermined	0
H28	ATP5B	Undetermined	Undetermined	0
H28	ATP5B	Undetermined	Undetermined	0
H28-BR0.1	ATP5B	Undetermined	Undetermined	0
H28-BR0.1	ATP5B	Undetermined	Undetermined	0
H28-BR0.1	ATP5B	Undetermined	Undetermined	0
H28-BR0.3	ATP5B	Undetermined	Undetermined	0
H28-BR0.3	ATP5B	Undetermined	Undetermined	0
H28-BR0.3	ATP5B	Undetermined	Undetermined	0
MeT5A	ATP5B	35.464	36.266	0.725
MeT5A	ATP5B	36.455	36.266	0.725
MeT5A	ATP5B	36.877	36.266	0.725
MeT5A-BR0.1	ATP5B	Undetermined	37.210	0
MeT5A-BR0.1	ATP5B	Undetermined	37.210	0
MeT5A-BR0.1	ATP5B	37.210	37.210	
MeT5A-BR0.3	ATP5B	Undetermined	Undetermined	0
MeT5A-BR0.3	ATP5B	Undetermined	Undetermined	0
MeT5A-BR0.3	ATP5B	Undetermined	Undetermined	0
REN	ATP5B	31.250	31.495	0.302
REN	ATP5B	31.402	31.495	0.302
REN	ATP5B	31.832	31.495	0.302
REN-BR0.1	ATP5B	30.420	31.476	0.934
REN-BR0.1	ATP5B	31.819	31.476	0.934
REN-BR0.1	ATP5B	32.190	31.476	0.934
REN-BR0.3	ATP5B	Undetermined	36.959	0
REN-BR0.3	ATP5B	Undetermined	36.959	0
REN-BR0.3	ATP5B	36.959	0	
VMC23	ATP5B	29.582	30.113	0.752
VMC23	ATP5B	30.645	30.113	0.752
VMC23-BR0.3	ATP5B	32.524	32.524	0.001
VMC23-BR0.3	ATP5B	32.524	32.524	0.001
H28	ATP5IF1	27.548	27.419	0.192
H28	ATP5IF1	27.199	27.419	0.192
H28	ATP5IF1	27.510	27.419	0.192
H28-BR0.1	ATP5IF1	27.383	27.632	0.255
H28-BR0.1	ATP5IF1	27.622	27.632	0.255
H28-BR0.1	ATP5IF1	27.892	27.632	0.255
H28-BR0.3	ATP5IF1	28.354	28.557	0.184
H28-BR0.3	ATP5IF1	28.601	28.557	0.184
H28-BR0.3	ATP5IF1	28.715	28.557	0.184
MeT5A	ATP5IF1	23.442	23.753	0.280
MeT5A	ATP5IF1	23.830	23.753	0.280
MeT5A	ATP5IF1	23.986	23.753	0.280
MeT5A-BR0.1	ATP5IF1	31.267	31.936	0.613
MeT5A-BR0.1	ATP5IF1	32.069	31.936	0.613
MeT5A-BR0.1	ATP5IF1	32.471	31.936	0.613
MeT5A-BR0.3	ATP5IF1	35.569	35.548	0.020
MeT5A-BR0.3	ATP5IF1	35.527	35.548	0.020
REN	ATP5IF1	19.318	19.259	0.083
REN	ATP5IF1	19.165	19.259	0.083
REN	ATP5IF1	19.294	19.259	0.083
REN-BR0.1	ATP5IF1	19.397	19.322	0.064
REN-BR0.1	ATP5IF1	19.285	19.322	0.064
REN-BR0.1	ATP5IF1	19.285	19.322	0.064
REN-BR0.3	ATP5IF1	22.034	22.198	0.201
REN-BR0.3	ATP5IF1	22.137	22.198	0.201
REN-BR0.3	ATP5IF1	22.422	22.198	0.201
VMC23	ATP5IF1	22.299	22.364	0.066
VMC23	ATP5IF1	22.361	22.364	0.066
VMC23	ATP5IF1	22.431	22.364	0.066
VMC23-BR0.3	ATP5IF1	24.131	24.277	0.128
VMC23-BR0.3	ATP5IF1	24.367	24.277	0.128
VMC23-BR0.3	ATP5IF1	24.333	24.277	0.128
H28	RNA18S1	10.344	10.112	0.216
H28	RNA18S1	10.075	10.112	0.216
H28	RNA18S1	9.918	10.112	0.216
H28-BR0.1	RNA18S1	10.452	10.637	0.204
H28-BR0.1	RNA18S1	10.857	10.637	0.204
H28-BR0.1	RNA18S1	10.601	10.637	0.204
H28-BR0.3	RNA18S1	11.356	11.641	0.249
H28-BR0.3	RNA18S1	11.751	11.641	0.249
H28-BR0.3	RNA18S1	11.817	11.641	0.249
MeT5A	RNA18S1	7.651	7.805	0.223
MeT5A	RNA18S1	8.060	7.805	0.223
MeT5A	RNA18S1	7.704	7.805	0.223
MeT5A-BR0.1	RNA18S1	16.555	16.696	0.165
MeT5A-BR0.1	RNA18S1	16.654	16.696	0.165
MeT5A-BR0.1	RNA18S1	16.878	16.696	0.165
MeT5A-BR0.3	RNA18S1	20.752	21.120	0.347
MeT5A-BR0.3	RNA18S1	21.168	21.120	0.347
MeT5A-BR0.3	RNA18S1	21.441	21.120	0.347
REN	RNA18S1	5.199	5.167	0.200
REN	RNA18S1	4.953	5.167	0.200
REN	RNA18S1	5.350	5.167	0.200
REN-BR0.1	RNA18S1	5.772	5.454	0.284
REN-BR0.1	RNA18S1	5.367	5.454	0.284
REN-BR0.1	RNA18S1	5.223	5.454	0.284
REN-BR0.3	RNA18S1	7.125	7.022	0.090
REN-BR0.3	RNA18S1	6.983	7.022	0.090
REN-BR0.3	RNA18S1	6.959	7.022	0.090
VMC23	RNA18S1	5.322	5.535	0.206
VMC23	RNA18S1	5.734	5.535	0.206
VMC23	RNA18S1	5.550	5.535	0.206
VMC23-BR0.3	RNA18S1	7.575	7.640	0.089
VMC23-BR0.3	RNA18S1	7.604	7.640	0.089
VMC23-BR0.3	RNA18S1	7.741	7.640	0.089
